OTU_ID	lab-p1-sample-1	lab-p1-sample-11	lab-p1-sample-12	lab-p1-sample-13	lab-p1-sample-14	lab-p1-sample-15	lab-p1-sample-16	lab-p1-sample-17	lab-p1-sample-18	lab-p1-sample-19	lab-p1-sample-2	lab-p1-sample-20	lab-p1-sample-21	lab-p1-sample-22	lab-p1-sample-23	lab-p1-sample-24	lab-p1-sample-25	lab-p1-sample-26	lab-p1-sample-27	lab-p1-sample-28	lab-p1-sample-29	lab-p1-sample-3	lab-p1-sample-30	lab-p1-sample-31	lab-p1-sample-32	lab-p1-sample-33	lab-p1-sample-34	lab-p1-sample-35	lab-p1-sample-36	lab-p1-sample-37	lab-p1-sample-38	lab-p1-sample-39	lab-p1-sample-4	lab-p1-sample-40	lab-p1-sample-41	lab-p1-sample-42	lab-p1-sample-43	lab-p1-sample-44	lab-p1-sample-45	lab-p1-sample-46	lab-p1-sample-47	lab-p1-sample-48	lab-p1-sample-49	lab-p1-sample-5	lab-p1-sample-50	lab-p1-sample-51	lab-p1-sample-52	lab-p1-sample-54	lab-p1-sample-55	lab-p1-sample-56	lab-p1-sample-57	lab-p1-sample-58	lab-p1-sample-59	lab-p1-sample-6	lab-p1-sample-61	lab-p1-sample-62	lab-p1-sample-63	lab-p1-sample-64	lab-p1-sample-65	lab-p1-sample-66	lab-p1-sample-68	lab-p1-sample-69	lab-p1-sample-7	lab-p1-sample-70	lab-p1-sample-71	lab-p1-sample-72	lab-p1-sample-73	lab-p1-sample-74	lab-p1-sample-75	lab-p1-sample-76	lab-p1-sample-77	lab-p1-sample-78	lab-p1-sample-79	lab-p1-sample-8	lab-p1-sample-80	lab-p1-sample-81	lab-p1-sample-82	lab-p1-sample-83	lab-p1-sample-84	lab-p1-sample-85	lab-p1-sample-87	lab-p1-sample-88	lab-p1-sample-89	lab-p1-sample-9	lab-p1-sample-90	lab-p1-sample-91	lab-p1-sample-93	lab-p1-sample-94	lab-p1-sample-95	lab-p1-sample-96	lab-p1-sample-97	lab-p1-sample-98	lab-p2-sample-117	lab-p2-sample-118	lab-p2-sample-119	lab-p2-sample-120	lab-p2-sample-121	lab-p2-sample-123	lab-p2-sample-124	lab-p2-sample-125	lab-p2-sample-134	lab-p2-sample-135	lab-p2-sample-136	lab-p2-sample-137	lab-p2-sample-138	lab-p2-sample-139	lab-p2-sample-140	lab-p2-sample-141	lab-p2-sample-151	lab-p2-sample-152	lab-p2-sample-153	lab-p2-sample-154	lab-p2-sample-155	lab-p2-sample-156	lab-p2-sample-157	lab-p2-sample-159	lab-p2-sample-160	lab-p2-sample-161	lab-p2-sample-162	lab-p2-sample-163	lab-p2-sample-164	lab-p3-sample-100	lab-p3-sample-101	lab-p3-sample-103	lab-p3-sample-104	lab-p3-sample-105	lab-p3-sample-106	lab-p3-sample-107	lab-p3-sample-108	lab-p3-sample-109	lab-p3-sample-111	lab-p3-sample-112	lab-p3-sample-113	lab-p3-sample-114	lab-p3-sample-115	lab-p3-sample-116	lab-p3-sample-126	lab-p3-sample-127	lab-p3-sample-128	lab-p3-sample-129	lab-p3-sample-130	lab-p3-sample-131	lab-p3-sample-132	lab-p3-sample-133	lab-p3-sample-142	lab-p3-sample-143	lab-p3-sample-144	lab-p3-sample-145	lab-p3-sample-146	lab-p3-sample-147	lab-p3-sample-148	lab-p3-sample-150	lab-p3-sample-99
52b366ca99c948666d4db0276d850d26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02e83e2c35a7a95bc77d16bb7e08712f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a2d37953bc02c35c6b78127108acdf46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
384112dd093eba5a3b56a44acd76ec02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	432.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	30.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3216.0	0.0	0.0	17.0	0.0	0.0	558.0	0.0
04d643dc4c8cef73c5ebd923453a67c8	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7004a45c150adbd09c16c5e6def48d54	0.0	0.0	0.0	0.0	522.0	11809.0	868.0	3682.0	50.0	0.0	0.0	0.0	0.0	2085.0	1366.0	3623.0	0.0	2878.0	563.0	0.0	0.0	0.0	2633.0	0.0	0.0	1484.0	0.0	3029.0	0.0	0.0	0.0	389.0	0.0	0.0	0.0	0.0	0.0	0.0	563.0	0.0	3245.0	929.0	856.0	466.0	2021.0	4065.0	1408.0	729.0	185.0	548.0	1580.0	879.0	390.0	0.0	71.0	0.0	0.0	0.0	477.0	0.0	395.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1731.0	925.0	1455.0	0.0	905.0	1756.0	1259.0	1181.0	2502.0	441.0	485.0	3012.0	233.0	5766.0	34.0	1524.0	470.0	18.0	4693.0	2614.0	9701.0	4084.0	1092.0	3903.0	917.0	2172.0	0.0	2253.0	6726.0	3718.0	1444.0	3392.0	2949.0	3105.0	4414.0	7145.0	2369.0	790.0	1271.0	3987.0	7221.0	3490.0	1074.0	3765.0	8044.0	8663.0	2833.0	3193.0	419.0	3507.0	611.0	1530.0	475.0	2806.0	7869.0	9810.0	1325.0	9831.0	848.0	3148.0	646.0	1844.0	256.0	4692.0	3387.0	2652.0	5417.0	2018.0	1985.0	2176.0	573.0	1168.0	2669.0	87.0	4024.0	0.0	700.0	417.0	4929.0	10138.0	3894.0
976ac1358d35d74eccd0b130d073224a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b9cbdf71831d9b40c0b8820891c3e7b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9266f45c5633e4e6362f2ed45a41d729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38b76e48e8b570c6ca283b528f6a91ae	0.0	0.0	60.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	5071.0	765.0	2055.0	4428.0	0.0	0.0	4714.0	83.0	0.0	0.0	0.0	103.0	1188.0	0.0	0.0	0.0	74.0	0.0	3158.0	0.0	0.0	0.0	0.0	0.0	38.0	10714.0	9470.0	0.0	0.0	0.0	6171.0	0.0	1424.0	0.0	0.0	0.0	7385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	1678.0	1286.0	0.0	0.0	4905.0	0.0	0.0	96.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	4400.0	1646.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
