Bee_ID,Species,Sex,Colony,Wing,Date_removed_from_fridge,Emerge_start_date,Treatment,No_pollen_spp,Pollen_comp,Dead,Death_date,Notes,Days_til_dead,Age
1,B. impatiens,F,3,0.226,NA,8/11/21,1-A,1,Dandelion,0,,"callow, 10 ul of feces ",7,callow
2,B. impatiens,F,3,0.229,NA,8/11/21,2-D,2,Dandelion + Sumac,0,,"callow, 10 ul of feces ",7,callow
3,B. impatiens,F,3,0.227,NA,8/11/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
4,B. impatiens,F,3,0.222,NA,8/11/21,1-B,1,Sumac,0,,"callow, 10 ul of feces ",7,callow
5,B. impatiens,F,8,0.182,NA,8/11/21,2-E,2,Dandelion + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
6,B. impatiens,F,13,0.176,NA,8/11/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
7,B. impatiens,F,3,0.218,NA,8/14/21,1-C,1,Hawthorn,0,,"callow, 10 ul of feces ",7,callow
8,B. impatiens,F,3,0.263,NA,8/14/21,2-F,2,Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
9,B. impatiens,F,9,0.229,NA,8/14/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
10,B. impatiens,F,9,0.237,NA,8/14/21,1-A,1,Dandelion,1,8/21/21,"callow, 10 ul of feces ",7,callow
11,B. impatiens,F,3,0.236,NA,8/16/21,2-D,2,Dandelion + Sumac,0,,"callow, 10 ul of feces ",7,callow
12,B. impatiens,F,3,0.24,NA,8/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
13,B. impatiens,F,3,0.25,NA,8/16/21,1-B,1,Sumac,0,,"callow, 10 ul of feces ",7,callow
14,B. impatiens,F,37,0.239,NA,8/16/21,2-E,2,Dandelion + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
15,B. impatiens,F,8,0.263,NA,8/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
16,B. impatiens,F,9,0.23,NA,8/16/21,1-C,1,Hawthorn,0,,"callow, 10 ul of feces ",7,callow
17,B. impatiens,F,9,0.25,NA,8/16/21,2-F,2,Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
18,B. impatiens,F,35,0.249,NA,8/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
19,B. impatiens,F,8,0.266,NA,8/16/21,1-A,1,Dandelion,0,,"callow, 10 ul of feces ",7,callow
20,B. impatiens,F,9,0.253,NA,8/16/21,2-D,2,Dandelion + Sumac,0,,"callow, 10 ul of feces ",7,callow
21,B. impatiens,F,37,0.263,NA,8/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 10 ul of feces ",7,callow
