sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p1-sample-91	91	lab.p1.sample.91	M. rotundata	Dandelion	1	M. rotundata	FALSE	NA	0.141	NA	9/14/21	1-A	1	Dandelion	NA	NA	starved in micro	NA	D
lab-p1-sample-93	93	lab.p1.sample.93	M. rotundata	Dandelion + Sumac + Hawthorn	1	M. rotundata	FALSE	NA	0.144	NA	9/14/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	starved in micro	NA	D + S + H
lab-p1-sample-94	94	lab.p1.sample.94	M. rotundata	Sumac	1	M. rotundata	FALSE	NA	0.141	NA	9/14/21	1-B	1	Sumac	NA	NA	starved in micro	NA	S
lab-p1-sample-95	95	lab.p1.sample.95	M. rotundata	Dandelion + Hawthorn	1	M. rotundata	FALSE	NA	0.148	NA	9/14/21	2-E	2	Dandelion + Hawthorn	NA	NA	starved in micro	NA	D + H
lab-p1-sample-96	96	lab.p1.sample.96	M. rotundata	Dandelion + Sumac + Hawthorn	1	M. rotundata	FALSE	NA	0.158	NA	9/14/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	starved in micro	NA	D + S + H
lab-p1-sample-97	97	lab.p1.sample.97	M. rotundata	Hawthorn	1	M. rotundata	FALSE	NA	0.141	NA	9/14/21	1-C	1	Hawthorn	NA	NA	starved in micro	NA	H
lab-p1-sample-98	98	lab.p1.sample.98	M. rotundata	Sumac + Hawthorn	1	M. rotundata	FALSE	NA	0.121	NA	9/14/21	2-F	2	Sumac + Hawthorn	NA	NA	starved in micro	NA	S + H
lab-p3-sample-99	99	lab.p3.sample.99	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.127	NA	9/14/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	starved in micro	NA	D + S + H
lab-p3-sample-100	100	lab.p3.sample.100	M. rotundata	Dandelion	3	M. rotundata	FALSE	NA	0.141	NA	9/14/21	1-A	1	Dandelion	NA	NA	starved in micro	NA	D
lab-p3-sample-101	101	lab.p3.sample.101	M. rotundata	Dandelion + Sumac	3	M. rotundata	FALSE	NA	0.152	NA	9/14/21	2-D	2	Dandelion + Sumac	NA	NA	starved in micro	NA	D + S
lab-p3-sample-103	103	lab.p3.sample.103	M. rotundata	Sumac	3	M. rotundata	FALSE	NA	0.144	NA	9/15/21	1-B	1	Sumac	NA	NA	starved in micro	NA	S
lab-p3-sample-104	104	lab.p3.sample.104	M. rotundata	Dandelion + Hawthorn	3	M. rotundata	FALSE	NA	0.141	NA	9/15/21	2-E	2	Dandelion + Hawthorn	NA	NA	starved in micro	NA	D + H
lab-p3-sample-105	105	lab.p3.sample.105	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	NA	NA	9/15/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	starved in micro	NA	D + S + H
lab-p3-sample-106	106	lab.p3.sample.106	M. rotundata	Hawthorn	3	M. rotundata	FALSE	NA	0.143	NA	9/15/21	1-C	1	Hawthorn	NA	NA	starved in micro	NA	H
lab-p3-sample-107	107	lab.p3.sample.107	M. rotundata	Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.158	NA	9/15/21	2-F	2	Sumac + Hawthorn	NA	NA	starved in micro	NA	S + H
lab-p3-sample-108	108	lab.p3.sample.108	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.139	NA	9/15/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	starved in micro	NA	D + S + H
