sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p1-sample-1	1	lab.p1.sample.1	B. impatiens	Dandelion	1	B. impatiens	FALSE	3	0.226	NA	8/11/21	1-A	1	Dandelion	NA	NA	callow, 10 ul of feces	callow	D
lab-p1-sample-2	2	lab.p1.sample.2	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	3	0.229	NA	8/11/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 10 ul of feces	callow	D + S
lab-p1-sample-3	3	lab.p1.sample.3	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.227	NA	8/11/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-4	4	lab.p1.sample.4	B. impatiens	Sumac	1	B. impatiens	FALSE	3	0.222	NA	8/11/21	1-B	1	Sumac	NA	NA	callow, 10 ul of feces	callow	S
lab-p1-sample-5	5	lab.p1.sample.5	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	8	0.182	NA	8/11/21	2-E	2	Dandelion + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + H
lab-p1-sample-6	6	lab.p1.sample.6	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	13	0.176	NA	8/11/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-7	7	lab.p1.sample.7	B. impatiens	Hawthorn	1	B. impatiens	FALSE	3	0.218	NA	8/14/21	1-C	1	Hawthorn	NA	NA	callow, 10 ul of feces	callow	H
lab-p1-sample-8	8	lab.p1.sample.8	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.263	NA	8/14/21	2-F	2	Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	S + H
lab-p1-sample-9	9	lab.p1.sample.9	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.229	NA	8/14/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-11	11	lab.p1.sample.11	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	3	0.236	NA	8/16/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 10 ul of feces	callow	D + S
