Bee_ID,Initial_date,Initial_time,initial_pollen_wt,initial_sucrose_wt,Final_date,Final_time,final_pollen_wt,final_sucrose_wt,net_pollen_OLD_COL,net_sucrose,net_pollen
1,8/11/21,16:00,0.2806,18.64,8/13/21,9:30,0.2319,17.06,0.0487,1.58,0.0487
2,8/11/21,16:00,0.2912,23.44,8/13/21,9:30,0.2267,22.05,0.0645,1.39,0.0645
3,8/11/21,16:00,0.2691,23.29,8/13/21,9:30,0.2085,22.18,0.0606,1.11,0.0606
4,8/11/21,16:00,0.2831,21.79,8/13/21,9:30,0.2093,20.35,0.0738,1.44,0.0738
5,8/11/21,16:00,0.2887,20.93,8/13/21,9:30,0.2516,19.79,0.0371,1.14,0.0371
6,8/11/21,16:00,0.2804,17.86,8/13/21,9:30,0.2419,16.78,0.0385,1.08,0.0385
7,8/14/21,10:00,0.2611,22.93,8/16/21,11:25,0.2157,21.63,0.0454,1.3,0.0454
8,8/14/21,10:00,0.2747,20.02,8/16/21,11:25,0.1946,18.9,0.0801,1.12,0.0801
9,8/14/21,10:00,0.2644,22.71,8/16/21,11:25,0.2144,21.52,0.05,1.19,0.05
10,8/14/21,10:00,0.2716,25.28,8/16/21,11:25,0.221,23.64,0.0506,1.64,0.0506
11,8/16/21,11:00,0.263,24.75,8/18/21,14:00,0.2146,23.01,0.0484,1.74,0.0484
12,8/16/21,11:00,0.2734,23.2,8/18/21,14:00,0.1889,21.09,0.0845,2.11,0.0845
13,8/16/21,11:00,0.2757,23.46,8/18/21,14:00,0.2248,21.8,0.0509,1.66,0.0509
14,8/16/21,11:00,0.2584,23.27,8/18/21,14:00,0.1913,21.16,0.0671,2.11,0.0671
15,8/16/21,11:00,0.261,23.37,8/18/21,14:00,0.184,21.24,0.077,2.13,0.077
16,8/16/21,11:00,0.2648,22.08,8/18/21,14:00,0.1861,20.19,0.0787,1.89,0.0787
17,8/16/21,11:00,0.2747,23.39,8/18/21,14:00,0.1925,21.06,0.0822,2.33,0.0822
18,8/16/21,11:00,0.2758,23.25,8/18/21,14:00,0.2041,21.4,0.0717,1.85,0.0717
19,8/16/21,11:00,0.2919,23.55,8/18/21,14:00,0.2158,21.9,0.0761,1.65,0.0761
20,8/16/21,11:00,0.2637,23.42,8/18/21,14:00,0.1866,21.75,0.0771,1.67,0.0771
21,8/16/21,11:00,0.2697,23.49,8/18/21,14:00,0.1921,21.5,0.0776,1.99,0.0776
22,8/16/21,11:00,0.2587,23.72,8/18/21,14:00,0.1877,22.25,0.071,1.47,0.071
23,8/16/21,11:00,0.2644,23.4,8/18/21,14:00,0.1939,22.12,0.0705,1.28,0.0705
24,8/16/21,11:00,0.2748,25.19,8/18/21,14:00,0.1929,23.4,0.0819,1.79,0.0819
25,8/16/21,11:00,0.259,24.44,8/18/21,14:00,0.1864,22.83,0.0726,1.61,0.0726
26,8/16/21,11:00,0.2821,22.28,8/18/21,14:00,0.1913,19.27,0.0908,3.01,0.0908
27,8/16/21,11:00,0.2532,23.43,8/18/21,14:00,0.1906,21.2,0.0626,2.23,0.0626
28,8/17/21,10:00,0.2466,23.19,8/19/21,12:00,0.1935,21.74,0.0531,1.45,0.0531
29,8/17/21,10:00,0.264,23.28,8/19/21,12:00,0.1926,20.8,0.0714,2.48,0.0714
30,8/17/21,10:00,0.2972,23.4,8/19/21,12:00,0.2398,21.79,0.0574,1.61,0.0574
31,8/17/21,10:00,0.2724,23.33,8/19/21,12:00,0.1922,21.98,0.0326,1.35,0.0802
32,8/17/21,10:00,0.2582,23.27,8/19/21,12:00,0.1839,21.94,0.0743,1.33,0.0743
33,8/17/21,10:00,0.2701,23.85,8/19/21,12:00,0.1896,21.68,0.0805,2.17,0.0805
34,8/17/21,10:00,0.2551,23.36,8/19/21,12:00,0.1851,21.23,0.07,2.13,0.07
35,8/17/21,10:00,0.2467,23,8/19/21,12:00,0.2079,21.78,0.0388,1.22,0.0388
36,8/17/21,10:00,0.2644,23.41,8/19/21,12:00,0.1875,21.75,0.0769,1.66,0.0769
37,8/17/21,10:00,0.2425,23.22,8/19/21,12:00,NA,21.29,NA,1.93,NA
38,8/17/21,10:00,0.2878,23.14,8/19/21,12:00,NA,20.55,NA,2.59,NA
39,8/17/21,10:00,0.2758,25.07,8/19/21,12:00,0.1884,22.77,0.0874,2.3,0.0874
