Bee_ID,initial_date,initial_pollen_wt,initial_sucrose_wt,final_date,final_pollen_wt,final_sucrose_wt,net_pollen,net_sucrose
1,11/29/21,0.1991,23.63,12/1/21,0.167,20.25,0.0321,3.38
2,11/29/21,0.1798,26.73,12/1/21,0.1638,23.65,0.016,3.08
3,11/29/21,0.1954,23.42,12/1/21,0.1649,19.5,0.0305,3.92
4,11/29/21,0.186,23.36,12/1/21,0.1419,20.09,0.0441,3.27
5,11/29/21,0.1907,25.08,12/1/21,0.1673,21.47,0.0234,3.61
6,11/29/21,0.1924,27.2,12/1/21,0.1623,23.82,0.0301,3.38
7,11/29/21,0.222,21.98,12/1/21,0.1837,18.92,0.0383,3.06
8,11/29/21,0.2263,24.87,12/1/21,0.1922,NA,0.0341,NA
9,11/29/21,0.2072,22.49,12/1/21,0.162,18.57,0.0452,3.92
10,11/29/21,0.1955,21.3,12/1/21,0.177,17.98,0.0185,3.32
11,11/29/21,0.1793,23.53,12/1/21,0.161,20.9,0.0183,2.63
12,11/29/21,0.1966,26.81,12/1/21,0.1719,23.66,0.0247,3.15
13,11/29/21,0.1815,24.3,12/1/21,0.1605,21.68,0.021,2.62
14,11/29/21,0.1815,19.85,12/1/21,0.1642,17.47,0.0173,2.38
15,11/29/21,0.1924,23.72,12/1/21,0.1694,20.76,0.023,2.96
16,11/29/21,0.1913,26.76,12/1/21,0.1712,24.35,0.0201,2.41
17,11/29/21,0.2125,20.55,12/1/21,0.2002,17.78,0.0123,2.77
18,11/29/21,0.1792,20.5,12/1/21,NA,NA,NA,NA
19,11/29/21,0.1954,20.36,12/1/21,NA,NA,NA,NA
20,11/29/21,0.1703,23.17,12/1/21,0.1417,NA,0.0286,NA
21,11/29/21,0.1865,23.69,12/1/21,0.1709,19.78,0.0156,3.91
22,11/29/21,0.18872,27.05,12/1/21,0.1452,23.61,0.04352,3.44
23,11/29/21,0.1935,19.68,12/1/21,0.1595,16.26,0.034,3.42
24,11/29/21,0.1963,25.13,12/1/21,0.1576,21.87,0.0387,3.26
25,11/29/21,0.2391,23.13,12/1/21,0.1866,19.47,0.0525,3.66
26,11/29/21,0.1869,25.72,12/1/21,0.161,22.75,0.0259,2.97
27,11/29/21,0.2125,24.67,12/1/21,0.1722,21.65,0.0403,3.02
28,12/1/21,0.2226,20.59,12/3/21,0.191,18.79,0.0316,1.8
29,12/1/21,0.1888,22.57,12/3/21,0.1668,19.88,0.022,2.69
30,12/1/21,0.2234,21.35,12/3/21,0.1887,18.66,0.0347,2.69
31,12/1/21,0.227,24.65,12/3/21,0.1929,21.84,0.0341,2.81
32,12/1/21,0.1801,26.63,12/3/21,0.1592,24.39,0.0209,2.24
33,12/1/21,0.244,21.33,12/3/21,0.2035,19.25,0.0405,2.08
34,12/1/21,0.2188,22.35,12/3/21,0.1944,20.12,0.0244,2.23
35,12/1/21,0.2085,20.93,12/3/21,0.185,19,0.0235,1.93
36,12/1/21,0.2254,25.67,12/3/21,0.1939,23.79,0.0315,1.88
37,12/1/21,0.2142,22.71,12/3/21,0.1897,20.16,0.0245,2.55
38,12/1/21,0.1861,21.24,12/3/21,NA,NA,NA,NA
39,12/1/21,0.2078,24.01,12/3/21,0.1847,21.06,0.0231,2.95
40,12/1/21,0.2111,25.8,12/3/21,0.1882,23.21,0.0229,2.59
41,12/1/21,0.1891,19.43,12/3/21,0.1574,16.73,0.0317,2.7
42,12/1/21,0.2218,22.58,12/3/21,NA,NA,NA,NA
43,12/1/21,0.2033,23.5,12/3/21,0.1759,21.32,0.0274,2.18
44,12/1/21,0.2036,23.71,12/3/21,0.1648,20.77,0.0388,2.94
45,12/1/21,0.2444,22.59,12/3/21,0.2082,19.62,0.0362,2.97
46,12/1/21,0.2123,20.24,12/3/21,0.2066,17.98,0.0057,2.26
47,12/1/21,0.1829,24.43,12/3/21,0.1296,22.05,0.0533,2.38
48,12/1/21,0.2152,23.19,12/3/21,0.1686,20.91,0.0466,2.28
49,12/1/21,0.2061,22.43,12/3/21,0.1895,19.95,0.0166,2.48
50,12/1/21,0.1993,25.79,12/3/21,0.1763,23.62,0.023,2.17
51,12/1/21,0.229,27.19,12/3/21,NA,NA,NA,NA
52,12/1/21,0.2122,24.28,12/3/21,0.1881,21.26,0.0241,3.02
53,12/1/21,0.2081,20.94,12/3/21,0.1731,18.05,0.035,2.89
54,12/1/21,0.2213,28.67,12/3/21,0.1722,25.89,0.0491,2.78
55,12/9/21,0.1834,20.73,12/11/21,0.1779,19.62,0.0055,1.11
56,12/9/21,0.1723,16.18,12/11/21,0.1457,14.32,0.0266,1.86
57,12/9/21,0.2068,24.2,12/11/21,0.2065,22.69,0.0003,1.51
58,12/9/21,0.1909,20.31,12/11/21,0.1531,17.78,0.0378,2.53
59,12/9/21,0.2111,23.62,12/11/21,0.2013,22.08,0.0098,1.54
60,12/9/21,0.2181,24.87,12/11/21,NA,NA,NA,NA
61,12/9/21,0.2142,25.81,12/11/21,0.1735,23.44,0.0407,2.37
62,12/9/21,0.1954,23.82,12/11/21,0.1693,21.84,0.0261,1.98
63,12/9/21,0.2104,24.11,12/11/21,0.1539,22.16,0.0565,1.95
64,12/9/21,0.1782,21.03,12/11/21,0.1739,18.98,0.0043,2.05
65,12/9/21,0.205,22.25,12/11/21,0.191,20.34,0.014,1.91
66,12/9/21,0.2179,23.43,12/11/21,0.1823,20.91,0.0356,2.52
67,12/9/21,0.1954,23.95,12/11/21,0.1743,22.18,0.0211,1.77
68,12/9/21,0.1956,25.56,12/11/21,0.1814,23.93,0.0142,1.63
69,12/9/21,0.2033,30.63,12/11/21,0.1886,28.79,0.0147,1.84
70,12/9/21,0.1991,27.01,12/11/21,0.1656,24.42,0.0335,2.59
71,12/9/21,0.2037,21.64,12/11/21,0.1898,20.13,0.0139,1.51
72,12/9/21,0.2055,22.89,12/11/21,0.1829,21.6,0.0226,1.29
73,12/9/21,0.2057,25.09,12/11/21,0.1923,23.46,0.0134,1.63
74,12/9/21,0.208,26.22,12/11/21,0.2011,25.03,0.0069,1.19
75,12/9/21,0.197,16.94,12/11/21,0.1875,15.73,0.0095,1.21
76,12/9/21,0.1781,19.71,12/11/21,0.1545,17.74,0.0236,1.97
77,12/9/21,0.2021,27.11,12/11/21,0.1894,25.47,0.0127,1.64
78,12/9/21,0.1867,28.18,12/11/21,0.169,26.18,0.0177,2
79,12/9/21,0.1968,22.68,12/11/21,0.1742,20.28,0.0226,2.4
80,12/9/21,0.1809,23.34,12/11/21,0.1655,21.08,0.0154,2.26
81,12/9/21,0.2023,23.48,12/11/21,0.1785,22.01,0.0238,1.47
82,12/10/21,0.1983,25.01,12/12/21,0.1777,23.43,0.0206,1.58
83,12/10/21,0.1861,27.33,12/12/21,0.166,25.26,0.0201,2.07
84,12/10/21,0.1837,25.53,12/12/21,0.1771,23.96,0.0066,1.57
85,12/10/21,0.1802,22.64,12/12/21,0.1512,20.85,0.029,1.79
86,12/10/21,0.1923,23.42,12/12/21,0.1751,21.81,0.0172,1.61
87,12/10/21,0.2156,25.3,12/12/21,0.1961,23.73,0.0195,1.57
88,12/10/21,0.1957,29.96,12/12/21,0.1728,27.94,0.0229,2.02
89,12/10/21,0.2161,26.99,12/12/21,0.1944,25.64,0.0217,1.35
90,12/10/21,0.2107,21.7,12/12/21,0.1814,20.22,0.0293,1.48
91,12/10/21,0.183,22.85,12/12/21,0.1634,21.2,0.0196,1.65
92,12/10/21,0.1962,18.91,12/12/21,0.1829,16.97,0.0133,1.94
93,12/10/21,0.2321,22.36,12/12/21,0.1999,20.34,0.0322,2.02
94,12/10/21,0.1985,27.29,12/12/21,0.1653,25.12,0.0332,2.17
95,12/10/21,0.1829,23.02,12/12/21,0.1635,21.04,0.0194,1.98
96,12/10/21,0.2143,20.05,12/12/21,0.192,18.41,0.0223,1.64
97,12/10/21,0.2488,22.48,12/12/21,0.2122,20.89,0.0366,1.59
98,12/10/21,0.2023,25.56,12/12/21,0.185,23.79,0.0173,1.77
99,12/10/21,0.2084,22.59,12/12/21,0.1773,20.94,0.0311,1.65
100,12/10/21,0.2126,23.09,12/12/21,0.203,21.52,0.0096,1.57
101,12/10/21,0.1869,25.09,12/12/21,0.1715,23.17,0.0154,1.92
102,12/10/21,0.2075,24.6,12/12/21,0.1886,22.73,0.0189,1.87
103,12/10/21,0.1979,25.13,12/12/21,0.1733,23.16,0.0246,1.97
104,12/10/21,0.2009,26.78,12/12/21,0.1915,24.92,0.0094,1.86
105,12/10/21,0.218,29.86,12/12/21,0.1923,27.77,0.0257,2.09
106,12/10/21,0.2115,28.44,12/12/21,0.1788,26.57,0.0327,1.87
107,12/10/21,0.2017,18.86,12/12/21,0.1627,17.83,0.039,1.03
108,12/10/21,0.2151,24.02,12/12/21,0.209,21.78,0.0061,2.24
109,12/13/21,0.3154,23.98,12/15/21,0.3042,22.19,0.0112,1.79
110,12/13/21,0.2124,20.06,12/15/21,0.1674,18.75,0.045,1.31
111,12/13/21,0.1966,20.08,12/15/21,0.1592,18.12,0.0374,1.96
112,12/13/21,0.1872,24.99,12/15/21,0.1688,23.03,0.0184,1.96
113,12/13/21,0.2073,19.91,12/15/21,0.1778,18.29,0.0295,1.62
114,12/13/21,0.2181,21.31,12/15/21,0.1882,19.48,0.0299,1.83
115,12/13/21,0.2264,21.48,12/15/21,NA,NA,NA,NA
116,12/13/21,0.2196,20.58,12/15/21,0.1999,19.18,0.0197,1.4
117,12/13/21,0.2105,22.24,12/15/21,0.1917,20.61,0.0188,1.63
118,12/13/21,0.3216,28.38,12/15/21,0.3094,27.54,0.0122,0.84
119,12/13/21,0.206,25.17,12/15/21,0.1899,24.18,0.0161,0.99
120,12/13/21,0.2146,24.72,12/15/21,0.1778,23.14,0.0368,1.58
121,12/13/21,0.2053,29.88,12/15/21,0.1751,28.59,0.0302,1.29
122,12/13/21,0.2067,29.32,12/15/21,0.1751,26.98,0.0316,2.34
123,12/13/21,0.2215,23.17,12/15/21,0.1801,21.69,0.0414,1.48
124,12/13/21,0.2156,27.51,12/15/21,0.1638,25.52,0.0518,1.99
125,12/13/21,0.2149,21.98,12/15/21,0.1694,19.83,0.0455,2.15
126,12/13/21,0.2073,24.36,12/15/21,0.1717,22,0.0356,2.36
127,12/13/21,0.3258,22.27,12/15/21,0.2861,20.72,0.0397,1.55
128,12/13/21,0.2138,24.62,12/15/21,0.1952,23.36,0.0186,1.26
129,12/13/21,0.2163,25.29,12/15/21,0.1709,23.36,0.0454,1.93
130,12/13/21,0.193,23.03,12/15/21,0.172,21.41,0.021,1.62
131,12/13/21,0.312,25.34,12/15/21,0.238,23.38,0.074,1.96
132,12/13/21,0.2094,26.52,12/15/21,0.1851,23.87,0.0243,2.65
133,12/13/21,0.2212,23.18,12/15/21,0.1717,21.11,0.0495,2.07
134,12/13/21,0.1803,25.91,12/15/21,0.1564,23.68,0.0239,2.23
135,12/13/21,0.2153,26.49,12/15/21,0.1911,25.11,0.0242,1.38
