Bee_ID,Colony,Date_start,Treat,Treat_no_spp,Treat_composition,Dead,Death_date,Days_til_dead,Wing,Notes,prelim_perc_area_not_using,prelim_perc_area/2,Implant_photo,perc_area,perc_area_halved,perc_area_halved_decimal
1,AF-4,11/29/21,A,1,Dandelion,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
2,AF-4,11/29/21,D,2,Dandelion + Sumac,1,12/2/21,3,NA,,,NA,n,NA,NA,NA
3,AF-4,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.219,,,NA,y,6.278,3.139,0.03139
4,AF-4,11/29/21,B,1,Sumac,0,12/6/21,7,0.212,,,NA,y,1.252,0.626,0.00626
5,AF-4,11/29/21,E,2,Dandelion + Hawthorn,0,12/6/21,7,0.25,no melanization at all,,NA,y,0.001,0.0005,0.000005
6,AF-4,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.224,,54.824,27.412,y,45.179,22.5895,0.225895
7,AF-4,11/29/21,C,1,Hawthorn,0,12/6/21,7,0.23,lost implant,NA,NA,n,NA,NA,NA
8,AF-4,11/29/21,F,2,Sumac + Hawthorn,0,12/6/21,7,0.255,lost impant,,NA,n,NA,NA,NA
9,AF-4,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.253,,,NA,y,36.671,18.3355,0.183355
10,AF-5,11/29/21,A,1,Dandelion,0,12/6/21,7,0.235,,,NA,y,57.109,28.5545,0.285545
11,AF-5,11/29/21,D,2,Dandelion + Sumac,0,12/6/21,7,0.252,,,NA,y,10.372,5.186,0.05186
12,AF-5,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.207,lots of melanin around implant in abdomen,,NA,y,44.201,22.1005,0.221005
13,AF-5,11/29/21,B,1,Sumac,0,12/6/21,7,0.231,,,NA,y,35.222,17.611,0.17611
14,AF-5,11/29/21,E,2,Dandelion + Hawthorn,0,12/6/21,7,0.226,,51.845,25.9225,y,66.911,33.4555,0.334555
15,AF-5,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.245,very sluggish after 2 hr recovery. lost implant,,NA,n,NA,NA,NA
16,AF-5,11/29/21,C,1,Hawthorn,0,12/6/21,7,0.215,woke up between poke and implant; had to refreeze,,NA,y,23.735,11.8675,0.118675
17,AF-5,11/29/21,F,2,Sumac + Hawthorn,0,12/6/21,7,0.216,,27.412,13.706,y,51.383,25.6915,0.256915
18,AF-5,11/29/21,G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
19,AF-6,11/29/21,A,1,Dandelion,1,12/1/21,2,NA,,,NA,n,NA,NA,NA
20,AF-6,11/29/21,D,2,Dandelion + Sumac,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
21,AF-6,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.246,,,NA,y,0.001,0.0005,0.000005
22,AF-6,11/29/21,B,1,Sumac,0,12/6/21,7,0.254,,,NA,y,33.159,16.5795,0.165795
23,AF-6,11/29/21,E,2,Dandelion + Hawthorn,0,12/6/21,7,0.225,,,NA,y,30.362,15.181,0.15181
24,AF-6,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.26,sluggish after 2 hr recovery,,NA,y,19.907,9.9535,0.099535
25,AF-6,11/29/21,C,1,Hawthorn,0,12/6/21,7,0.226,,48.033,24.0165,y,51.504,25.752,0.25752
26,AF-6,11/29/21,F,2,Sumac + Hawthorn,0,12/6/21,7,0.222,,,NA,y,47.33,23.665,0.23665
27,AF-6,11/29/21,G,3,Dandelion + Sumac + Hawthorn,0,12/6/21,7,0.228,,,NA,y,3.4,1.7,0.017
28,AF-4,12/1/21,A,1,Dandelion,0,12/8/21,7,0.207,,,NA,y,2.242,1.121,0.01121
29,AF-4,12/1/21,D,2,Dandelion + Sumac,0,12/8/21,7,0.205,,,NA,y,26.218,13.109,0.13109
30,AF-4,12/1/21,G,3,Dandelion + Sumac + Hawthorn,0,12/8/21,7,0.211,,,NA,y,0.001,0.0005,0.000005
31,AF-4,12/1/21,B,1,Sumac,0,12/8/21,7,0.231,,,NA,y,6.756,3.378,0.03378
32,AF-4,12/1/21,E,2,Dandelion + Hawthorn,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
33,AF-4,12/1/21,G,3,Dandelion + Sumac + Hawthorn,1,12/5/21,4,NA,,,NA,n,NA,NA,NA
34,AF-4,12/1/21,C,1,Hawthorn,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
35,AF-4,12/1/21,F,2,Sumac + Hawthorn,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
36,AF-4,12/1/21,G,3,Dandelion + Sumac + Hawthorn,1,12/7/21,6,NA,,,NA,n,NA,NA,NA
37,AF-5,12/1/21,A,1,Dandelion,0,12/8/21,7,0.234,,6.392,3.196,y,13.225,6.6125,0.066125
38,AF-5,12/1/21,D,2,Dandelion + Sumac,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
39,AF-5,12/1/21,G,3,Dandelion + Sumac + Hawthorn,0,12/8/21,7,0.267,,,NA,y,14.018,7.009,0.07009
40,AF-5,12/1/21,B,1,Sumac,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
41,AF-5,12/1/21,E,2,Dandelion + Hawthorn,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
42,AF-5,12/1/21,G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,escaped,,NA,n,NA,NA,NA
43,AF-5,12/1/21,C,1,Hawthorn,0,12/8/21,7,0.237,,,NA,y,11.796,5.898,0.05898
44,AF-5,12/1/21,F,2,Sumac + Hawthorn,0,12/8/21,7,0.229,,6.852,3.426,y,12.674,6.337,0.06337
45,AF-5,12/1/21,G,3,Dandelion + Sumac + Hawthorn,0,12/8/21,7,0.245,,15.784,7.892,y,19.283,9.6415,0.096415
46,AF-6,12/1/21,A,1,Dandelion,0,12/8/21,7,NA,,,NA,y,1.003,0.5015,0.005015
47,AF-6,12/1/21,D,2,Dandelion + Sumac,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
48,AF-6,12/1/21,G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
49,AF-6,12/1/21,B,1,Sumac,0,12/8/21,7,0.228,,,NA,y,0.001,0.0005,0.000005
50,AF-6,12/1/21,E,2,Dandelion + Hawthorn,0,12/8/21,7,0.263,lots of melanin around in abdomen,,NA,y,3.733,1.8665,0.018665
51,AF-6,12/1/21,G,3,Dandelion + Sumac + Hawthorn,1,12/2/21,1,NA,,,NA,n,NA,NA,NA
52,AF-6,12/1/21,C,1,Hawthorn,NA,NA,NA,NA,omit - died after implant,,NA,n,NA,NA,NA
53,AF-6,12/1/21,F,2,Sumac + Hawthorn,0,12/8/21,7,0.208,,,NA,y,17.831,8.9155,0.089155
54,AF-6,12/1/21,G,3,Dandelion + Sumac + Hawthorn,0,12/8/21,7,0.235,,,NA,y,16.014,8.007,0.08007
55,AF-4,12/9/21,A,1,Dandelion,0,12/16/21,7,0.196,,,NA,y,4.052,2.026,0.02026
56,AF-4,12/9/21,D,2,Dandelion + Sumac,0,12/16/21,7,0.295,,,NA,y,5.711,2.8555,0.028555
57,AF-4,12/9/21,G,3,Dandelion + Sumac + Hawthorn,0,12/16/21,7,0.254,melanization on gut tissue near implant,,NA,y,0.001,0.0005,0.000005
58,AF-4,12/9/21,B,1,Sumac,0,12/16/21,7,0.267,,18.221,9.1105,y,40.362,20.181,0.20181
59,AF-4,12/9/21,E,2,Dandelion + Hawthorn,0,12/16/21,7,0.269,,2.303,1.1515,y,5.729,2.8645,0.028645
60,AF-4,12/9/21,G,3,Dandelion + Sumac + Hawthorn,1,12/11/21,2,NA,,,NA,n,NA,NA,NA
